time,station
1/1/2022 1:00,OMAA
2/1/2022 9:00,OMAA
2/1/2022 10:00,OMAA
2/1/2022 11:00,OMAA
2/1/2022 12:00,OMAA
3/1/2022 1:00,OMAA
3/1/2022 2:00,OMAA
3/1/2022 3:00,OMAA
3/1/2022 4:00,OMAA
3/1/2022 4:33,OMAA
3/1/2022 5:00,OMAA
15/01/2022 10:13,OMAA
15/01/2022 11:00,OMAA
15/01/2022 12:00,OMAA
20/02/2022 06:00,OMAA
8/3/2022 5:24,OMAA
8/3/2022 6:00,OMAA
8/3/2022 6:02,OMAA
8/3/2022 6:25,OMAA
8/3/2022 7:00,OMAA
8/3/2022 8:00,OMAA
8/3/2022 9:00,OMAA
8/3/2022 10:00,OMAA
8/3/2022 11:00,OMAA
25/03/2022 10:28,OMAA
25/03/2022 10:40,OMAA
25/03/2022 11:00,OMAA
15/04/2022 05:26,OMAA
15/04/2022 06:00,OMAA
15/04/2022 06:34,OMAA
15/04/2022 06:39,OMAA
15/04/2022 07:00,OMAA
26/04/2022 10:46,OMAA
26/04/2022 11:00,OMAA
26/04/2022 12:00,OMAA
26/04/2022 13:00,OMAA
26/04/2022 13:28,OMAA
26/04/2022 14:00,OMAA
29/04/2022 09:42,OMAA
29/04/2022 09:47,OMAA
29/04/2022 10:00,OMAA
2/5/2022 23:00,OMAA
3/5/2022 0:00,OMAA
3/5/2022 1:00,OMAA
3/5/2022 2:00,OMAA
3/5/2022 3:00,OMAA
3/5/2022 3:39,OMAA
3/5/2022 4:00,OMAA
3/5/2022 5:00,OMAA
3/5/2022 6:00,OMAA
3/5/2022 7:00,OMAA
3/5/2022 8:00,OMAA
3/5/2022 8:37,OMAA
3/5/2022 9:00,OMAA
3/5/2022 10:00,OMAA
3/5/2022 11:00,OMAA
3/5/2022 11:10,OMAA
3/5/2022 12:00,OMAA
3/5/2022 12:43,OMAA
3/5/2022 13:00,OMAA
6/5/2022 4:00,OMAA
6/5/2022 5:00,OMAA
6/5/2022 6:00,OMAA
6/5/2022 10:32,OMAA
6/5/2022 10:42,OMAA
6/5/2022 11:00,OMAA
6/5/2022 12:00,OMAA
7/5/2022 2:00,OMAA
7/5/2022 4:00,OMAA
7/5/2022 4:02,OMAA
7/5/2022 5:00,OMAA
7/5/2022 6:00,OMAA
7/5/2022 6:18,OMAA
15/05/2022 13:00,OMAA
15/05/2022 14:00,OMAA
15/05/2022 15:00,OMAA
17/05/2022 10:26,OMAA
17/05/2022 11:00,OMAA
17/05/2022 11:12,OMAA
17/05/2022 11:44,OMAA
17/05/2022 12:00,OMAA
17/05/2022 12:06,OMAA
17/05/2022 13:00,OMAA
17/05/2022 14:00,OMAA
17/05/2022 15:00,OMAA
17/05/2022 15:17,OMAA
17/05/2022 16:00,OMAA
17/05/2022 17:00,OMAA
17/05/2022 18:00,OMAA
17/05/2022 19:00,OMAA
17/05/2022 20:00,OMAA
17/05/2022 21:00,OMAA
17/05/2022 21:27,OMAA
17/05/2022 22:00,OMAA
17/05/2022 23:00,OMAA
18/05/2022 00:00,OMAA
18/05/2022 01:00,OMAA
18/05/2022 01:33,OMAA
18/05/2022 02:00,OMAA
18/05/2022 03:00,OMAA
18/05/2022 04:00,OMAA
18/05/2022 05:00,OMAA
18/05/2022 06:00,OMAA
18/05/2022 07:00,OMAA
18/05/2022 08:00,OMAA
18/05/2022 09:00,OMAA
18/05/2022 09:29,OMAA
18/05/2022 10:00,OMAA
18/05/2022 11:00,OMAA
18/05/2022 12:00,OMAA
18/05/2022 13:00,OMAA
18/05/2022 14:00,OMAA
18/05/2022 15:00,OMAA
18/05/2022 16:00,OMAA
18/05/2022 17:00,OMAA
18/05/2022 18:00,OMAA
18/05/2022 19:00,OMAA
18/05/2022 20:00,OMAA
18/05/2022 21:00,OMAA
18/05/2022 22:00,OMAA
18/05/2022 23:00,OMAA
19/05/2022 00:00,OMAA
19/05/2022 02:00,OMAA
19/05/2022 03:00,OMAA
24/05/2022 11:13,OMAA
24/05/2022 11:27,OMAA
24/05/2022 12:00,OMAA
24/05/2022 12:06,OMAA
24/05/2022 12:18,OMAA
24/05/2022 13:00,OMAA
24/05/2022 14:00,OMAA
24/05/2022 15:00,OMAA
24/05/2022 15:05,OMAA
24/05/2022 16:00,OMAA
24/05/2022 16:32,OMAA
24/05/2022 17:00,OMAA
24/05/2022 18:00,OMAA
24/05/2022 19:00,OMAA
24/05/2022 20:00,OMAA
24/05/2022 21:00,OMAA
25/05/2022 01:22,OMAA
25/05/2022 02:00,OMAA
25/05/2022 03:00,OMAA
25/05/2022 04:00,OMAA
25/05/2022 05:00,OMAA
25/05/2022 06:00,OMAA
25/05/2022 07:00,OMAA
25/05/2022 08:00,OMAA
25/05/2022 09:00,OMAA
13/06/2022 14:00,OMAA
14/06/2022 03:00,OMAA
14/06/2022 04:00,OMAA
14/06/2022 04:23,OMAA
14/06/2022 05:00,OMAA
14/06/2022 06:00,OMAA
14/06/2022 06:06,OMAA
14/06/2022 17:00,OMAA
14/06/2022 17:32,OMAA
14/06/2022 18:00,OMAA
14/06/2022 19:00,OMAA
20/06/2022 03:00,OMAA
20/06/2022 04:00,OMAA
23/06/2022 04:00,OMAA
23/06/2022 05:00,OMAA
23/06/2022 06:00,OMAA
23/06/2022 07:00,OMAA
23/06/2022 11:00,OMAA
23/06/2022 12:00,OMAA
24/06/2022 01:17,OMAA
24/06/2022 02:00,OMAA
24/06/2022 03:00,OMAA
24/06/2022 04:00,OMAA
24/06/2022 05:00,OMAA
24/06/2022 06:00,OMAA
24/06/2022 07:00,OMAA
27/06/2022 07:00,OMAA
27/06/2022 08:00,OMAA
27/06/2022 09:00,OMAA
27/06/2022 09:23,OMAA
15/07/2022 13:24,OMAA
15/07/2022 13:31,OMAA
15/07/2022 14:00,OMAA
15/07/2022 15:00,OMAA
15/07/2022 16:06,OMAA
26/07/2022 01:32,OMAA
26/07/2022 02:00,OMAA
26/07/2022 03:00,OMAA
26/07/2022 03:13,OMAA
26/07/2022 04:00,OMAA
26/07/2022 05:00,OMAA
26/07/2022 06:00,OMAA
26/07/2022 07:00,OMAA
13/08/2022 02:00,OMAA
13/08/2022 03:00,OMAA
13/08/2022 04:00,OMAA
13/08/2022 05:00,OMAA
13/08/2022 05:31,OMAA
13/08/2022 06:00,OMAA
13/08/2022 07:00,OMAA
13/08/2022 08:00,OMAA
14/08/2022 02:00,OMAA
14/08/2022 02:01,OMAA
14/08/2022 02:11,OMAA
14/08/2022 02:24,OMAA
14/08/2022 02:39,OMAA
14/08/2022 03:00,OMAA
14/08/2022 04:00,OMAA
14/08/2022 05:00,OMAA
14/08/2022 06:00,OMAA
14/08/2022 07:00,OMAA
14/08/2022 08:00,OMAA
14/08/2022 09:00,OMAA
14/08/2022 10:00,OMAA
14/08/2022 11:00,OMAA
14/08/2022 12:00,OMAA
14/08/2022 13:00,OMAA
14/08/2022 14:00,OMAA
14/08/2022 15:00,OMAA
14/08/2022 16:00,OMAA
14/08/2022 17:00,OMAA
14/08/2022 18:00,OMAA
14/08/2022 19:00,OMAA
14/08/2022 20:00,OMAA
14/08/2022 21:00,OMAA
14/08/2022 22:00,OMAA
14/08/2022 23:00,OMAA
15/08/2022 00:00,OMAA
15/08/2022 01:00,OMAA
15/08/2022 02:00,OMAA
15/08/2022 02:17,OMAA
15/08/2022 03:00,OMAA
15/08/2022 04:00,OMAA
15/08/2022 05:00,OMAA
15/08/2022 06:00,OMAA
15/08/2022 07:00,OMAA
15/08/2022 08:00,OMAA
15/08/2022 09:00,OMAA
15/08/2022 09:15,OMAA
15/08/2022 10:00,OMAA
15/08/2022 11:00,OMAA
15/08/2022 11:17,OMAA
19/08/2022 05:00,OMAA
19/08/2022 06:00,OMAA
22/08/2022 05:00,OMAA
22/08/2022 06:00,OMAA
22/08/2022 10:00,OMAA
22/08/2022 11:00,OMAA
27/08/2022 04:18,OMAA
27/08/2022 05:00,OMAA
27/08/2022 05:39,OMAA
2/9/2022 13:00,OMAA
4/9/2022 2:00,OMAA
4/9/2022 2:20,OMAA
20/09/2022 05:00,OMAA
20/09/2022 05:02,OMAA
20/09/2022 06:00,OMAA
4/10/2022 4:00,OMAA
4/10/2022 4:01,OMAA
4/10/2022 5:00,OMAA
9/11/2022 14:00,OMAA
